id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_raw,m_time,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Strain,Other Variables,notes,mice900_keep
19,"Anisimov, V. N. and Egormin, P. A. and Bershtein, L. M. and Zabezhinskii, M. A. and Piskunova, T. S. and Popovich, I. G. and Semenchenko, A. V.",Metformin decelerates aging and development of mammary tumors in HER-2/neu transgenic mice,2005,264,34,,,282,32,,,median,N,days,Table1:  SS + Figure 1a Median,mice,Metformin,Metformin,Metformin,female,HER-2/neu Transgenic Mouse,Breast Cancer Gene,,N
20,"Anisimov, V. N. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Tyndyk, M. L. and Yurova, M. N. and Zabezhinski, M. A. and Anikin, I. V. and Karkach, A. S. and Romanyukha, A. A.",Metformin extends life span of HER-2/neu transgenic mice and in combination with melatonin inhibits growth of transplantable tumors in vivo,2010,285,15,,,304,20,,,mean,N,days,Table4,mice,Metformin,Metformin,Metformin,female,HER-2/neu Transgenic Mouse,Breast Cancer Gene,cant use error as not sure if SD or SE,N
21,"Anisimov, V. N. and Egormin, P. A. and Piskunova, T. S. and Popovich, I. G. and Tyndyk, M. L. and Yurova, M. N. and Zabezhinski, M. A. and Anikin, I. V. and Karkach, A. S. and Romanyukha, A. A.",Metformin extends life span of HER-2/neu transgenic mice and in combination with melatonin inhibits growth of transplantable tumors in vivo,2010,284,15,,,309,20,,,median,N,days,Table4,mice,Metformin,Metformin,Metformin,female,HER-2/neu Transgenic Mouse,Breast Cancer Gene,,N
22,"Anisimov, V. N. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Egormin, P. A. and Yurova, M. V. and Rosenfeld, S. V. and Semenchenko, A. V. and Kovalenko, I. G. and Poroshina, T. E. and Berstein, L. M.","Gender differences in metformin effect on aging, life span and spontaneous tumorigenesis in 129/Sv mice",2010,662,41,192.0937271,30,573,46,228.5645204,33.7,mean,N,days,table 4,mice,Metformin,Metformin,Metformin,male,129/Sv mice,None,,N
23,"Anisimov, V. N. and Piskunova, T. S. and Popovich, I. G. and Zabezhinski, M. A. and Tyndyk, M. L. and Egormin, P. A. and Yurova, M. V. and Rosenfeld, S. V. and Semenchenko, A. V. and Kovalenko, I. G. and Poroshina, T. E. and Berstein, L. M.","Gender differences in metformin effect on aging, life span and spontaneous tumorigenesis in 129/Sv mice",2010,680,41,,,586,46,,,median,N,days,table 4,mice,Metformin,Metformin,Metformin,male,129/Sv mice,None,,N
24,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,709,50,,,851,39,,,mean,N,days,table 5,mice,Metformin,Metformin,Males,male,129/Sv mice,None,cant use error as not sure if SD or SE,N
25,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,758,35,,,689,30,,,mean,N,days,table 5,mice,Metformin,Metformin,Females,female,129/Sv mice,None,cant use error as not sure if SD or SE,N
26,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,745,50,,,889,30,,,median,N,days,table 5,mice,Metformin,Metformin,Males,male,129/Sv mice,None,,N
27,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,821,35,,,708,30,,,median,N,days,table 5,mice,Metformin,Metformin,Females,female,129/Sv mice,None,,N
28,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Antoch, M. P. and Blagosklonny, M. V.",Rapamycin extends maximal lifespan in cancer-prone mice,2010,296,28,31.21986547,5.9,308,30,70.65620992,12.9,mean,N,days,table 2,mice,Rapamycin,Rapamycin,Rapamycin,female,FVB/N HER-2/neu transgenic mice,Breast Cancer Gene,,N
29,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Antoch, M. P. and Blagosklonny, M. V.",Rapamycin extends maximal lifespan in cancer-prone mice,2010,288,28,,,327,30,,,median,N,days,table 2,mice,Rapamycin,Rapamycin,Rapamycin,female,FVB/N HER-2/neu transgenic mice,Breast Cancer Gene,,N
30,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Rosenfeld, S. V. and Blagosklonny, M. V.",Rapamycin increases lifespan and inhibits spontaneous tumorigenesis in inbred female mice,2011,723,31,,,754,35,,,mean,N,days,table 4,mice,Rapamycin,Rapamycin,Rapamycin,female,29/Sv mice ,None,cant use error as not sure if SD or SE,N
31,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Rosenfeld, S. V. and Blagosklonny, M. V.",Rapamycin increases lifespan and inhibits spontaneous tumorigenesis in inbred female mice,2011,759,31,,,836,35,,,median,N,days,table 4,mice,Rapamycin,Rapamycin,Rapamycin,female,29/Sv mice ,None,,N
32,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,920.2,20,129.6434787,28.98916313,mean,Y,days,figure 1c + Table S1,mice,Rapamycin,Rapamycin,All Mice,female,C57BL/6J.Nia,None,all mice,Y
33,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,972,14,120.1127675,32.10148742,mean,Y,days,figure 1a + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice w/ Dermitits,female,C57BL/6J.Nia,None,exclude mice with dermitits,Y
34,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,939.4,17,131.2012094,31.82096733,mean,Y,days,figure 1b + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice Ethanised,female,C57BL/6J.Nia,None,exclude mice euthanised,Y
35,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,917.5,20,,,median,Y,days,figure 1c + Table S1,mice,Rapamycin,Rapamycin,All Mice,female,C57BL/6J.Nia,None,all mice,Y
36,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,960,14,,,median,Y,days,figure 1a + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice w/ Dermitits,female,C57BL/6J.Nia,None,exclude mice with dermitits,Y
37,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,930,17,,,median,Y,days,figure 1b + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice Ethanised,female,C57BL/6J.Nia,None,exclude mice euthanised,Y
38,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,731.4,52,120.7426788,16.74399691,882.53,51,137.2171058,19.21423804,mean,Y,days,supp matt 3,mice,Rapamycin,Rapamycin,Continuous,male,C3B6F1,None,did not use female all cohorts as censored,N
39,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,731.4,52,120.7426788,16.74399691,847,52,137.094071,19.01152703,mean,Y,days,supp matt 3,mice,Rapamycin,Rapamycin,Intermittent,male,C3B6F1,None,did not use female all cohorts as censored,N
40,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,816.37,52,140.6218722,19.50074502,994.78,51,165.8578082,23.22473856,mean,Y,days,supp matt 3,mice,Rapamycin,Rapamycin,Continuous,female,C3B6F1,None,did not use female all cohorts as censored,Y
41,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,816.37,52,140.6218722,19.50074502,936.82,51,194.0413055,27.17121756,mean,Y,days,supp matt 3,mice,Rapamycin,Rapamycin,Intermittent,female,C3B6F1,None,did not use female all cohorts as censored,N
42,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,718,52,,,923,51,,,median,Y,days,Figure2+suppmatt3,mice,Rapamycin,Rapamycin,Continuous,male,C3B6F1,None,,N
43,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,718,52,,,850,52,,,median,Y,days,Figure2+suppmatt3,mice,Rapamycin,Rapamycin,Intermittent,male,C3B6F1,None,,N
44,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,837,52,,,1046,51,,,median,Y,days,Figure2+suppmatt3,mice,Rapamycin,Rapamycin,Continuous,female,C3B6F1,None,,Y
45,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,837,52,,,957,51,,,median,Y,days,Figure2+suppmatt3,mice,Rapamycin,Rapamycin,Intermittent,female,C3B6F1,None,,Y
46,"Bartke, Andrzej; Wright, J. Chris; Mattison, Julie A.; Ingram, Donald K.; Miller, Richard A.; Roth, George S.",Extending the lifespan of long-lived mice,2001,722.9814,26,,,909.3168,27,,,median,N,days,fig1,mice,Percent Reduction,Dietary restriction,Wild-type,mixed,WT,None,,N
47,"Bartke, Andrzej; Wright, J. Chris; Mattison, Julie A.; Ingram, Donald K.; Miller, Richard A.; Roth, George S.",Extending the lifespan of long-lived mice,2001,996.2733,21,,,1226.087,24,,,median,N,days,fig1,mice,Percent Reduction,Dietary restriction,Ames Dwarf,mixed,Ames dwarf,None,,Y
48,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,313,32,17,3.00520382,357,31,23,4.130921947,mean,N,days,Fig 2 + 818 + Table 1 for SS,mice,Fasted,Dietary restriction,1 day fast,male,p53+/– mice,Genetic Suceptibility,,N
49,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,313,32,17,3.00520382,388,31,23,4.130921947,mean,N,days,Fig 2 + 818 + Table 1 for SS,mice,Percent Reduction,Dietary restriction,CR,male,p53+/– mice,Genetic Suceptibility,,N
50,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,43,32,,,51,31,,,median,N,weeks,Fig 2 + 818 + Table 1 for SS,mice,Fasted,Dietary restriction,1 day fast,male,p53+/– mice,Genetic Suceptibility,,N
51,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,43,32,,,55,31,,,median,N,weeks,Fig 2 + 818 + Table 1 for SS,mice,Percent Reduction,Dietary restriction,CR,male,p53+/– mice,Genetic Suceptibility,,N
52,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,127,8,5.656854249,2,134,7,15.87450787,6,mean,N,days,table 1,mice,Rapamycin,Rapamycin,Rapa,mixed,G93AGur disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death,N
53,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,232,38,12.32882801,2,232,16,8,2,mean,N,days,table 1,mice,Rapamycin,Rapamycin,Rapa,mixed,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death,N
54,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,232,38,12.32882801,2,265,19,17.43559577,4,mean,N,days,table 1,mice,Percent Reduction,Dietary restriction,DR,mixed,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death,N
55,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,136,38,,,142,16,,,median,N,days,table 1 for ss + Fig 1C,mice,Rapamycin,Rapamycin,Rapa,mixed,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),,N
56,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,136,38,,,195,19,,,median,N,days,table 1 for ss + Fig 1C,mice,Percent Reduction,Dietary restriction,DR,mixed,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),,N
57,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,19.7015,24,,,21.49255,25,,,median,N,weeks,fig1,mice,Rapamycin,Rapamycin,Rapa,female,Ercc1∆/− mice,progeroid DNA repair-deficient mice,,N
58,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,19.7015,24,,,41.19404,25,,,median,N,weeks,fig1,mice,Percent Reduction,Dietary restriction,DR 30%,female,Ercc1∆/− mice,progeroid DNA repair-deficient mice,,N
59,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,21.30045,25,,,19.59642,25,,,median,N,weeks,fig1,mice,Rapamycin,Rapamycin,Rapa,female,Ercc1∆/− mice,progeroid DNA repair-deficient mice,,N
60,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,26.08,10,,,24.57,10,,,median,N,weeks,fig2,mice,Rapamycin,Rapamycin,Rapa 42ppm,female,Ercc1∆/− mice,progeroid DNA repair-deficient mice,not using control - m,N
61,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,26.08,10,,,21.82,10,,,median,N,weeks,fig2,mice,Rapamycin,Rapamycin,Rapa 4.7ppm,female,Ercc1∆/− mice,progeroid DNA repair-deficient mice,not using control - m,N
62,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,17.03,10,,,23.38,10,,,median,N,weeks,fig2,mice,Rapamycin,Rapamycin,Rapa 42ppm,male,Ercc1∆/− mice,progeroid DNA repair-deficient mice,not using control - m,N
